EventType,Feature,Value
ThreePhase_Fault,I_unbalance_delta_max,0.0432503698828608
ThreePhase_Fault,I_unbalance_delta_max,0.058551199709321
ThreePhase_Fault,I_unbalance_delta_max,0.0515844935572598
ThreePhase_Fault,I_unbalance_delta_max,0.0434058140927848
ThreePhase_Fault,I_unbalance_delta_max,0.0312049465601744
ThreePhase_Fault,I_unbalance_delta_max,0.0656284492284164
ThreePhase_Fault,I_unbalance_delta_max,0.0492693124027726
ThreePhase_Fault,I_unbalance_delta_max,0.0388768989555054
ThreePhase_Fault,I_unbalance_delta_max,0.0387047728771647
ThreePhase_Fault,I_unbalance_delta_max,0.0445979434530471
ThreePhase_Fault,I_unbalance_delta_max,0.041563894567864
ThreePhase_Fault,I_unbalance_delta_max,0.0744679821703527
ThreePhase_Fault,I_unbalance_delta_max,0.0263880437724903
ThreePhase_Fault,I_unbalance_delta_max,0.0429236540333422
ThreePhase_Fault,I_unbalance_delta_max,0.0433216985819165
SLG_Fault,threephase_balance_score_mean,0.19022408826188544
SLG_Fault,threephase_balance_score_mean,0.1798715382406685
SLG_Fault,threephase_balance_score_mean,0.1802532069824744
SLG_Fault,threephase_balance_score_mean,0.1754262879980896
SLG_Fault,threephase_balance_score_mean,0.18871251915287182
SLG_Fault,threephase_balance_score_mean,0.17984405417429344
SLG_Fault,threephase_balance_score_mean,0.1771355222100738
SLG_Fault,threephase_balance_score_mean,0.1790264575791423
SLG_Fault,threephase_balance_score_mean,0.18327021695446835
SLG_Fault,threephase_balance_score_mean,0.16366865581698414
SLG_Fault,threephase_balance_score_mean,0.17755952006411096
SLG_Fault,threephase_balance_score_mean,0.178545110753931
SLG_Fault,threephase_balance_score_mean,0.1743003632916029
SLG_Fault,threephase_balance_score_mean,0.17528411044595227
SLG_Fault,threephase_balance_score_mean,0.17356745772299678
SLG_Fault,threephase_balance_score_mean,0.18478545695165668
SLG_Fault,threephase_balance_score_mean,0.1780682602189576
SLG_Fault,threephase_balance_score_mean,0.17558847876639083
SLG_Fault,threephase_balance_score_mean,0.17569237430814344
SLG_Fault,threephase_balance_score_mean,0.17445798155979722
SLG_Fault,threephase_balance_score_mean,0.1661392595534558
SLG_Fault,threephase_balance_score_mean,0.16563267606180324
SLG_Fault,threephase_balance_score_mean,0.17471141614476118
SLG_Fault,threephase_balance_score_mean,0.1721998074607846
SLG_Fault,threephase_balance_score_mean,0.18085814231203748
SLG_Fault,threephase_balance_score_mean,0.17828951634030743
SLG_Fault,threephase_balance_score_mean,0.18271704303891
SLG_Fault,threephase_balance_score_mean,0.17253787976255325
SLG_Fault,threephase_balance_score_mean,0.18014487687949937
SLG_Fault,threephase_balance_score_mean,0.18035006530689385
ThreePhase_Fault,threephase_balance_score_mean,0.6941973940812474
ThreePhase_Fault,threephase_balance_score_mean,0.6218073410960678
ThreePhase_Fault,threephase_balance_score_mean,0.7972656312939773
ThreePhase_Fault,threephase_balance_score_mean,0.7464795205305245
ThreePhase_Fault,threephase_balance_score_mean,0.7287481696976891
ThreePhase_Fault,threephase_balance_score_mean,0.6859553755635531
ThreePhase_Fault,threephase_balance_score_mean,0.8167707922280361
ThreePhase_Fault,threephase_balance_score_mean,0.796415495524732
ThreePhase_Fault,threephase_balance_score_mean,0.7110035425600499
ThreePhase_Fault,threephase_balance_score_mean,0.8531227322459497
ThreePhase_Fault,threephase_balance_score_mean,0.8206513996381495
ThreePhase_Fault,threephase_balance_score_mean,0.8185631212093304
ThreePhase_Fault,threephase_balance_score_mean,0.8234663192998961
ThreePhase_Fault,threephase_balance_score_mean,0.8268259837083604
ThreePhase_Fault,threephase_balance_score_mean,0.7510761190066062
ThreePhase_Fault,threephase_balance_score_mean,0.797632406839129
ThreePhase_Fault,threephase_balance_score_mean,0.8481160891460972
ThreePhase_Fault,threephase_balance_score_mean,0.8500429426018398
ThreePhase_Fault,threephase_balance_score_mean,0.8394111578737168
ThreePhase_Fault,threephase_balance_score_mean,0.8387420628154725
ThreePhase_Fault,threephase_balance_score_mean,0.8677764628520107
ThreePhase_Fault,threephase_balance_score_mean,0.9032770580376204
ThreePhase_Fault,threephase_balance_score_mean,0.8441358267521504
ThreePhase_Fault,threephase_balance_score_mean,0.8122662490481276
ThreePhase_Fault,threephase_balance_score_mean,0.8292289361100931
ThreePhase_Fault,threephase_balance_score_mean,0.8274633957287044
ThreePhase_Fault,threephase_balance_score_mean,0.812818227407795
ThreePhase_Fault,threephase_balance_score_mean,0.8497284087444191
ThreePhase_Fault,threephase_balance_score_mean,0.8134116341445637
ThreePhase_Fault,threephase_balance_score_mean,0.8105886958240662
SLG_Fault,zero_sequence_dominance_score_max,1.1267403240439853
SLG_Fault,zero_sequence_dominance_score_max,1.3566575401220755
SLG_Fault,zero_sequence_dominance_score_max,1.5285234475239065
SLG_Fault,zero_sequence_dominance_score_max,1.5342486236202149
SLG_Fault,zero_sequence_dominance_score_max,1.2548002655407973
SLG_Fault,zero_sequence_dominance_score_max,1.1821534386659711
SLG_Fault,zero_sequence_dominance_score_max,1.171519543253197
