BusGroup,Feature,EventType,BinaryClass,Mean,Median,IQR,Minimum,Maximum,Count
Infeasible single-WMU buses,dV E72 ratio,SSO_ThreePhase_Fault,Fault,0.13610275118185686,0.13638240270683946,0.06956764702991938,0.0012764544335467,0.6850230335655981,720
Infeasible single-WMU buses,dV energy,SSO_LoadSwitch,Non-fault,0.01295229624150023,0.012301480747049499,0.0021601157194220504,0.008829192198113,0.0184056990111715,504
Infeasible single-WMU buses,dV energy,SSO_Normal,Non-fault,0.010823083021119985,0.01022052056223295,0.0018555613589199271,0.0074153074972136,0.0155336495365705,72
Infeasible single-WMU buses,dV energy,SSO_SLG_Fault,Fault,0.1956663152373372,0.1206767947805689,0.19233691962936536,0.0136482431509645,2.0754603253385797,720
Infeasible single-WMU buses,dV energy,SSO_ThreePhase_Fault,Fault,9.022222005527158,0.1779797048805201,0.560884464858487,0.0149316004313659,277.3028176046085,720
Other feasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_LoadSwitch,Non-fault,0.9798557170654211,0.9812302040153758,0.002879321563779569,0.9475868253780492,0.9825840759582732,105
Other feasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_Normal,Non-fault,0.2443200961445995,0.2445108143360391,0.0011891047967715895,0.2422209726042954,0.245529473182727,15
Other feasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_SLG_Fault,Fault,0.14539008794773328,0.14585051078823902,0.025591363841325238,0.0197287542693727,0.2700989749106504,150
Other feasible single-WMU buses,60-80 Hz dV ratio proxy,SSO_ThreePhase_Fault,Fault,0.12672954864222333,0.14022523797925146,0.05304236639462212,0.0030024382587677,0.4621975619327103,150
Other feasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_LoadSwitch,Non-fault,0.9798557170654211,0.9812302040153758,0.002879321563779569,0.9475868253780492,0.9825840759582732,105
Other feasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_Normal,Non-fault,0.2443200961445995,0.2445108143360391,0.0011891047967715895,0.2422209726042954,0.245529473182727,15
Other feasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_SLG_Fault,Fault,0.14539008794773328,0.14585051078823902,0.025591363841325238,0.0197287542693727,0.2700989749106504,150
Other feasible single-WMU buses,70-80 Hz dV ratio proxy,SSO_ThreePhase_Fault,Fault,0.12672954864222333,0.14022523797925146,0.05304236639462212,0.0030024382587677,0.4621975619327103,150
Other feasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_LoadSwitch,Non-fault,0.9792573897952516,0.9811948240179034,0.0035428760486214683,0.9220348639443372,0.9823648320500904,105
Other feasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_Normal,Non-fault,0.23281709778492723,0.2325144313495793,0.0009192570501813102,0.2321025802513057,0.2335982489511952,15
Other feasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_SLG_Fault,Fault,0.12911877004825156,0.14121532345125914,0.0488442894832531,0.0099371297612583,0.2700989749106504,150
Other feasible single-WMU buses,Balanced 67-77 Hz dV ratio,SSO_ThreePhase_Fault,Fault,0.115798089095526,0.13538453144148876,0.06823913851809235,0.0030024382587677,0.2606162765237172,150
Other feasible single-WMU buses,Delta I unbalance,SSO_LoadSwitch,Non-fault,0.0030964869377087295,0.0033844071738321,0.0004987642332199001,0.0011671207087868,0.0037915759978459,105
Other feasible single-WMU buses,Delta I unbalance,SSO_Normal,Non-fault,0.01758593824407238,0.0179132201029788,0.0007239344659173003,0.0164831557561046,0.0183714910979578,15
Other feasible single-WMU buses,Delta I unbalance,SSO_SLG_Fault,Fault,0.5514287835755171,0.6417610580539344,0.6622752067773202,0.0009734363830124,0.9983171768550736,150
Other feasible single-WMU buses,Delta I unbalance,SSO_ThreePhase_Fault,Fault,0.04886122600496893,0.017843235060136402,0.050438725885844846,0.0010792959594492,0.5562745981552216,150
Other feasible single-WMU buses,Delta V unbalance,SSO_LoadSwitch,Non-fault,0.0027252624878645643,0.0031899877749736,0.00044536221542309986,8.861644941635105e-05,0.0079976453461945,105
Other feasible single-WMU buses,Delta V unbalance,SSO_Normal,Non-fault,0.014215423883007021,0.0173560746165253,0.000403472807,0.0018383540021895,0.0174540837874333,15
Other feasible single-WMU buses,Delta V unbalance,SSO_SLG_Fault,Fault,0.14005444293303923,0.13492783391595842,0.10343121424422266,0.0136133001149982,0.3537651009920438,150
Other feasible single-WMU buses,Delta V unbalance,SSO_ThreePhase_Fault,Fault,0.09557035398812706,0.0261325874850271,0.084608009051451,0.0016057592218901,0.79176402464397,150
Other feasible single-WMU buses,Delta Z apparent,SSO_LoadSwitch,Non-fault,0.622992612321823,0.5374944195433997,0.9127565642547387,0.0016147283648599,4.600294139973574,105
Other feasible single-WMU buses,Delta Z apparent,SSO_Normal,Non-fault,1.0867027673250291,1.5859938131911928,1.9031414164366218,0.0008149937243207,1.929986849393618,15
Other feasible single-WMU buses,Delta Z apparent,SSO_SLG_Fault,Fault,9.67165081183731,6.016427555273561,17.560396817317557,0.0021607408630845,28.38566499461953,150
Other feasible single-WMU buses,Delta Z apparent,SSO_ThreePhase_Fault,Fault,69.47692149468462,13.101473459554011,22.427721801979047,0.0234995796696519,1095.358528238676,150
Other feasible single-WMU buses,FaultScore,SSO_LoadSwitch,Non-fault,0.3724501701837268,0.3737800769871909,0.16802691048802992,0.2150327861784562,0.5030185542499757,105
Other feasible single-WMU buses,FaultScore,SSO_Normal,Non-fault,0.7648662658125657,0.778016510889341,0.19009225989016898,0.6125903903224199,0.90195448757149,15
