CaseName,EventType,TargetBus,ObservedBus,BinaryFaultLabel,FaultEvidence,LoadSwitchEvidence,FaultScore
SSO_LoadSwitch_Bus18,SSO_LoadSwitch,18.0,9,0,0.9439812428826286,0.9999656732250486,0.44399840627010434
SSO_LoadSwitch_Bus19,SSO_LoadSwitch,19.0,9,0,0.9446281938483003,0.9988130495725361,0.44522166906203225
SSO_LoadSwitch_Bus20,SSO_LoadSwitch,20.0,9,0,0.9439790380668627,1.0,0.4439790380668627
SSO_LoadSwitch_Bus21,SSO_LoadSwitch,21.0,9,0,0.9461330779715263,0.9947966489259255,0.4487347535085636
SSO_LoadSwitch_Bus23,SSO_LoadSwitch,23.0,9,0,0.9439597406211722,0.9999922115127308,0.4439636348648068
SSO_LoadSwitch_Bus24,SSO_LoadSwitch,24.0,9,0,0.9446244379481306,0.9983715574851372,0.44543865920556197
SSO_LoadSwitch_Bus26,SSO_LoadSwitch,26.0,9,0,0.943969484466562,0.9997317575687161,0.444103605682204
SSO_LoadSwitch_Bus29,SSO_LoadSwitch,29.0,9,0,0.9438435225405027,1.0,0.44384352254050274
SSO_LoadSwitch_Bus30,SSO_LoadSwitch,30.0,9,0,0.9441042639566283,0.9987768129652579,0.44471585747399933
SSO_Normal_Case01,SSO_Normal,,9,0,0.9439169158034202,0.21293233103715273,0.8374507502848438
SSO_Normal_Case02,SSO_Normal,,9,0,0.9439169158034202,0.21293233103715273,0.8374507502848438
SSO_Normal_Case03,SSO_Normal,,9,0,0.9439169158034202,0.21293233103715273,0.8374507502848438
SSO_SLG_Fault_Bus01,SSO_SLG_Fault,1.0,9,1,0.9479178442241063,0.0070378971108225,0.9443988956686951
SSO_SLG_Fault_Bus02,SSO_SLG_Fault,2.0,9,1,0.939977897294123,0.04560343330031292,0.9171761806439664
SSO_SLG_Fault_Bus03,SSO_SLG_Fault,3.0,9,1,0.9469717091891654,0.04384507343282861,0.9250491724727511
SSO_SLG_Fault_Bus04,SSO_SLG_Fault,4.0,9,1,0.9532992133512845,0.08618275565717434,0.9102078355226974
SSO_SLG_Fault_Bus05,SSO_SLG_Fault,5.0,9,1,0.9406741769697131,0.01580385270257995,0.9327722506184232
